osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
4827063,0,0.8217,6,0.05936267829132466,0.6057,25.33,27.34,25.33,0.6925,0.0,0.777069267316829,0.15384615384615385,0.08049219313257056,0.6056605660566057,0.023980059592023838,1.0,low,1.0
77065969,0,0.9014,6,0.010906585653691965,0.7787,126.19,126.19,127.7,0.6525,0.0,0.8767191797949487,0.15384615384615385,0.014787617618699869,0.7786778677867786,0.12030139812055926,0.9116022099447513,low,1.0
4827067,0,0.8869,6,0.007872002615292278,0.5115,135.64,135.64,137.91,0.5525,0.0,0.858589647411853,0.15384615384615385,0.010672841136602895,0.5114511451145114,0.1293261517304607,0.6906077348066298,low,1.0
4827063,0,0.8736,7,0.06222356353379621,0.5,49.33,53.89,49.33,0.6925,0.0,0.8419604901225306,0.23076923076923078,0.08437144216439413,0.49994999499949994,0.04690006876002751,1.0,low,1.0
4827076,0,0.9901,6,0.009725589282710879,0.5,52.67,56.18,52.67,,0.0,0.9876219054763691,0.15384615384615385,0.01318623250869887,0.49994999499949994,0.050089770035908025,0.6906077348066298,low,1.0
335659986,0,1.0,6,0.037355026245227706,0.5,145.25,145.25,145.37,0.4725,0.0,1.0,0.15384615384615385,0.05065067358291642,0.49994999499949994,0.13850370540148219,0.5138121546961325,low,1.0
"[4827104, 28947043, 28947036]",0,1.0,6,0.037355026245227706,0.5,263.53,264.26,263.53,0.5125,0.0,1.0,0.15384615384615385,0.05065067358291642,0.49994999499949994,0.2514611505844602,0.6022099447513811,low,1.0
335659982,0,1.0,6,0.037355026245227706,0.5,160.39,161.16,160.39,0.4725,0.0,1.0,0.15384615384615385,0.05065067358291642,0.49994999499949994,0.15296241118496448,0.5138121546961325,low,1.0
335659991,0,1.0,6,0.008696159642764628,0.5,241.76,268.0,241.76,0.4225,0.0,1.0,0.15384615384615385,0.011790365986404521,0.49994999499949994,0.23067079226831694,0.4033149171270718,low,0.9999
4827126,0,1.0,6,0.008696159642764628,0.5,316.84,318.83,316.84,0.555,0.0,1.0,0.15384615384615385,0.011790365986404521,0.49994999499949994,0.3023722209488884,0.696132596685083,low,1.0
